Gender,Age,BodyGoal,ProblemAreas,Height_cm,Weight_kg,FitnessLevel,WorkoutDaysPerWeek,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Female,28.0,Increase Strength,Small Legs,164,58,Intermediate,4,Leg Day,Back Day,Rest,Upper Body,Rest,Cardio,Rest
Male,23.0,Lose Weight,Big Belly,174,86,Beginner,4,Cardio,Rest,Upper Body,Rest,Lower Body,Cardio,Rest
Female,34.0,Gain Muscle Mass,Weak Chest,168,56,Advanced,6,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Full Body
Male,32.0,Increase Strength,Small Legs,183,96,Intermediate,4,Leg Day,Back Day,Rest,Leg Day,Upper Body,Rest,Cardio
Female,22.0,Lose Weight,Big Belly,158,55,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,27.0,Gain Muscle Mass,Small Arms,172,79,Advanced,5,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Full Body
Female,29.0,Increase Strength,Small Legs,163,61,Intermediate,4,Leg Day,Back Day,Rest,Upper Body,Rest,Cardio,Rest
Male,30.0,Lose Weight,Big Belly,175,85,Beginner,4,Cardio,Rest,Upper Body,Rest,Lower Body,Cardio,Rest
Female,26.0,Gain Muscle Mass,Weak Chest,161,58,Advanced,6,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Full Body
Male,24.0,Increase Strength,Small Legs,177,94,Intermediate,4,Leg Day,Back Day,Rest,Leg Day,Upper Body,Rest,Cardio
Female,31.0,Lose Weight,Big Belly,159,52,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,28.0,Gain Muscle Mass,Small Arms,174,76,Advanced,5,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Full Body
Female,27.0,Increase Strength,Small Legs,162,60,Intermediate,4,Leg Day,Back Day,Rest,Upper Body,Rest,Cardio,Rest
Male,35.0,Lose Weight,Big Belly,178,90,Beginner,4,Cardio,Rest,Upper Body,Rest,Lower Body,Cardio,Rest
Female,25.0,Gain Muscle Mass,Weak Chest,167,59,Advanced,6,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Full Body
Male,26.0,Increase Strength,Small Legs,180,92,Intermediate,4,Leg Day,Back Day,Rest,Leg Day,Upper Body,Rest,Cardio
Female,23.0,Lose Weight,Big Belly,157,54,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,31.0,Gain Muscle Mass,Small Arms,176,82,Advanced,5,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Full Body
Female,33.0,Increase Strength,Small Legs,165,62,Intermediate,4,Leg Day,Back Day,Rest,Upper Body,Rest,Cardio,Rest
Male,29.0,Lose Weight,Big Belly,179,88,Beginner,4,Cardio,Rest,Upper Body,Rest,Lower Body,Cardio,Rest
Female,28.0,Gain Muscle Mass,Weak Chest,164,57,Advanced,6,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Full Body
Male,27.0,Increase Strength,Small Legs,182,93,Intermediate,4,Leg Day,Back Day,Rest,Leg Day,Upper Body,Rest,Cardio
Female,22.0,Lose Weight,Big Belly,160,52,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,25.0,Gain Muscle Mass,Small Arms,173,75,Advanced,5,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Full Body
Female,34.0,Increase Strength,Small Legs,166,61,Intermediate,4,Leg Day,Back Day,Rest,Upper Body,Rest,Cardio,Rest
Female,15.0,Lose Weight,Big Belly,155,45,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,16.0,Gain Muscle Mass,Small Arms,160,50,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,17.0,Increase Strength,Small Legs,165,55,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Male,18.0,Lose Weight,Big Belly,170,60,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Female,19.0,Gain Muscle Mass,Weak Chest,175,65,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Male,20.0,Increase Strength,Small Legs,180,70,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Female,21.0,Lose Weight,Big Belly,185,75,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,22.0,Gain Muscle Mass,Small Arms,190,80,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,23.0,Increase Strength,Small Legs,195,85,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Male,24.0,Lose Weight,Big Belly,200,90,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Female,25.0,Gain Muscle Mass,Weak Chest,205,95,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Male,26.0,Increase Strength,Small Legs,210,100,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Female,27.0,Lose Weight,Big Belly,140,40,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,28.0,Gain Muscle Mass,Small Arms,145,45,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,29.0,Increase Strength,Small Legs,150,50,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Male,30.0,Lose Weight,Big Belly,155,55,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Female,31.0,Gain Muscle Mass,Weak Chest,160,60,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Male,32.0,Increase Strength,Small Legs,165,65,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Female,33.0,Lose Weight,Big Belly,170,70,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,34.0,Gain Muscle Mass,Small Arms,175,75,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,35.0,Increase Strength,Small Legs,180,80,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Male,36.0,Lose Weight,Big Belly,185,85,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Female,37.0,Gain Muscle Mass,Weak Chest,190,90,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Male,38.0,Increase Strength,Small Legs,195,95,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Female,39.0,Lose Weight,Big Belly,200,100,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,40.0,Gain Muscle Mass,Small Arms,205,105,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,41.0,Increase Strength,Small Legs,210,110,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Male,42.0,Lose Weight,Big Belly,140,45,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Female,43.0,Gain Muscle Mass,Weak Chest,145,50,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Male,44.0,Increase Strength,Small Legs,150,55,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Female,45.0,Lose Weight,Big Belly,155,60,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,46.0,Gain Muscle Mass,Small Arms,160,65,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,47.0,Increase Strength,Small Legs,165,70,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Male,48.0,Lose Weight,Big Belly,170,75,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Female,49.0,Gain Muscle Mass,Weak Chest,175,80,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Male,50.0,Increase Strength,Small Legs,180,85,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Female,51.0,Lose Weight,Big Belly,185,90,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,52.0,Gain Muscle Mass,Small Arms,190,95,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,53.0,Increase Strength,Small Legs,195,100,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Male,54.0,Lose Weight,Big Belly,200,105,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Female,55.0,Gain Muscle Mass,Weak Chest,205,110,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Male,56.0,Increase Strength,Small Legs,210,115,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Female,57.0,Lose Weight,Big Belly,140,50,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,58.0,Gain Muscle Mass,Small Arms,145,55,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,59.0,Increase Strength,Small Legs,150,60,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Male,60.0,Lose Weight,Big Belly,155,65,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Female,61.0,Gain Muscle Mass,Weak Chest,160,70,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Male,62.0,Increase Strength,Small Legs,165,75,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Female,63.0,Lose Weight,Big Belly,170,80,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,64.0,Gain Muscle Mass,Small Arms,175,85,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,65.0,Increase Strength,Small Legs,180,90,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Male,66.0,Lose Weight,Big Belly,185,95,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Female,67.0,Gain Muscle Mass,Weak Chest,190,100,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Female,25.0,Lose Weight,Big Belly,167,64,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,30.0,Gain Muscle Mass,Small Arms,185,85,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,22.0,Increase Strength,Small Legs,172,58,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Male,45.0,Lose Weight,Big Belly,176,92,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Female,50.0,Gain Muscle Mass,Weak Chest,168,73,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Male,35.0,Increase Strength,Small Legs,190,99,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Female,27.0,Lose Weight,Big Belly,160,61,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,29.0,Gain Muscle Mass,Small Arms,180,77,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,33.0,Increase Strength,Small Legs,177,66,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Male,55.0,Lose Weight,Big Belly,175,88,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Female,48.0,Gain Muscle Mass,Weak Chest,169,70,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Male,40.0,Increase Strength,Small Legs,192,104,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Female,32.0,Lose Weight,Big Belly,162,65,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,28.0,Gain Muscle Mass,Small Arms,183,80,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,37.0,Increase Strength,Small Legs,174,60,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Male,50.0,Lose Weight,Big Belly,178,95,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Female,45.0,Gain Muscle Mass,Weak Chest,171,69,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Male,42.0,Increase Strength,Small Legs,187,93,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Female,29.0,Lose Weight,Big Belly,164,62,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,36.0,Gain Muscle Mass,Small Arms,189,98,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,31.0,Increase Strength,Small Legs,173,67,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Male,38.0,Lose Weight,Big Belly,180,90,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Female,42.0,Gain Muscle Mass,Weak Chest,165,71,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Male,47.0,Increase Strength,Small Legs,193,100,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Female,50.0,Lose Weight,Big Belly,169,68,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,34.0,Gain Muscle Mass,Small Arms,185,86,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,41.0,Increase Strength,Small Legs,174,59,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Male,52.0,Lose Weight,Big Belly,177,94,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Female,38.0,Gain Muscle Mass,Weak Chest,170,72,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Male,44.0,Increase Strength,Small Legs,188,102,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Female,36.0,Lose Weight,Big Belly,163,64,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,32.0,Gain Muscle Mass,Small Arms,181,79,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,48.0,Increase Strength,Small Legs,176,60,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Male,46.0,Lose Weight,Big Belly,179,89,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Female,40.0,Gain Muscle Mass,Weak Chest,168,66,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Male,37.0,Increase Strength,Small Legs,190,97,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Female,35.0,Lose Weight,Big Belly,161,61,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,33.0,Gain Muscle Mass,Small Arms,182,83,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,47.0,Increase Strength,Small Legs,175,63,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Male,45.0,Lose Weight,Big Belly,174,91,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Female,43.0,Gain Muscle Mass,Weak Chest,167,68,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Male,35.0,Increase Strength,Small Legs,191,100,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Female,39.0,Lose Weight,Big Belly,162,65,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,31.0,Gain Muscle Mass,Small Arms,183,84,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,46.0,Increase Strength,Small Legs,178,61,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Male,50.0,Lose Weight,Big Belly,175,93,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Female,44.0,Gain Muscle Mass,Weak Chest,170,69,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Male,36.0,Increase Strength,Small Legs,189,99,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Female,42.0,Lose Weight,Big Belly,166,66,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,38.0,Gain Muscle Mass,Small Arms,181,82,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,40.0,Increase Strength,Small Legs,177,65,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Male,49.0,Lose Weight,Big Belly,176,90,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Female,41.0,Gain Muscle Mass,Weak Chest,169,67,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Male,47.0,Increase Strength,Small Legs,192,98,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Chest Day,Rest
Female,23.0,Lose Weight,Big Belly,160,54,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,28.0,Gain Muscle Mass,Small Arms,180,75,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,35.0,Increase Strength,Small Legs,167,63,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Male,42.0,Lose Weight,Big Belly,175,87,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Female,50.0,Gain Muscle Mass,Weak Chest,172,72,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Male,30.0,Increase Strength,Small Legs,190,94,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Female,27.0,Lose Weight,Big Belly,161,60,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,38.0,Gain Muscle Mass,Small Arms,183,81,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,32.0,Increase Strength,Small Legs,174,66,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Male,45.0,Lose Weight,Big Belly,179,89,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Female,43.0,Gain Muscle Mass,Weak Chest,169,71,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Male,55.0,Increase Strength,Small Legs,193,101,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Female,24.0,Lose Weight,Big Belly,163,57,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,36.0,Gain Muscle Mass,Small Arms,185,86,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,48.0,Increase Strength,Small Legs,171,60,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Male,47.0,Lose Weight,Big Belly,177,90,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Female,40.0,Gain Muscle Mass,Weak Chest,168,67,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Male,31.0,Increase Strength,Small Legs,191,96,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Female,29.0,Lose Weight,Big Belly,162,61,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,34.0,Gain Muscle Mass,Small Arms,184,82,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,39.0,Increase Strength,Small Legs,173,65,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Male,41.0,Lose Weight,Big Belly,178,88,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Female,46.0,Gain Muscle Mass,Weak Chest,170,69,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Male,49.0,Increase Strength,Small Legs,192,100,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Female,26.0,Lose Weight,Big Belly,164,59,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,35.0,Gain Muscle Mass,Small Arms,186,84,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,31.0,Increase Strength,Small Legs,175,62,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Male,37.0,Lose Weight,Big Belly,180,91,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Female,44.0,Gain Muscle Mass,Weak Chest,166,66,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Male,50.0,Increase Strength,Small Legs,189,97,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Female,33.0,Lose Weight,Big Belly,165,63,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,29.0,Gain Muscle Mass,Small Arms,182,83,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,47.0,Increase Strength,Small Legs,178,60,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Male,48.0,Lose Weight,Big Belly,174,89,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Female,42.0,Gain Muscle Mass,Weak Chest,167,68,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Male,38.0,Increase Strength,Small Legs,190,95,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Female,37.0,Lose Weight,Big Belly,161,60,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Male,32.0,Gain Muscle Mass,Small Arms,183,80,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Arm Day,Rest,Rest
Female,49.0,Increase Strength,Small Legs,177,64,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Male,51.0,Lose Weight,Big Belly,173,92,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
Female,41.0,Gain Muscle Mass,Weak Chest,171,70,Intermediate,4,Chest Day,Back Day,Rest,Leg Day,Upper Body,Rest,Rest
Male,30.0,Increase Strength,Small Legs,188,98,Advanced,5,Leg Day,Back Day,Upper Body,Rest,Cardio,Rest,Full Body
Female,40.0,Lose Weight,Big Belly,164,67,Beginner,3,Cardio,Rest,Upper Body,Rest,Lower Body,Rest,Rest
